Year,TotalTDFDistance,Stage
1992,3983,Stage 20 : Blois > Nanterre
1992,3983,Stage 19 : Tours > Blois
1992,3983,Stage 18 : Montluçon > Tours
1992,3983,Stage 10 : Luxembourg > Strasbourg
1992,3983,Stage 16 : Saint-Etienne > La Bourboule
1992,3983,Stage 15 : Bourg-d'Oisans > Saint-Etienne
1992,3983,Stage 14 : Sestrières > L'Alpe-d'Huez
1992,3983,Stage 13 : Saint-Gervais > Sestrières
1992,3983,Stage 17 : La Bourboule > Montluçon
1993,3714,Stage 9 : Lac de Madine > Lac de Madine
1993,3714,Stage 1 : Luçon > Les Sables
1993,3714,Stage 2 : Les Sables > Vannes
1993,3714,Stage 3 : Vannes > Dinard
1993,3714,Stage 4 : Dinard > Avranches
1993,3714,Stage 5 : Avranches > Evreux
1993,3714,Stage 6 : Evreux > Amiens
1993,3714,Stage 7 : Péronne > Chalons-sur-Marne
1993,3714,Stage 8 : Chalons-sur-Marne > Verdun
1993,3714,Prologue : Puy-du-Fou > Puy-du-Fou
1993,3714,Stage 10 : Villard-de-Lans > Serre-Chevalier
1993,3714,Stage 12 : Isola 2000 > Marseille
1993,3714,Stage 13 : Marseille > Montpellier
1993,3714,Stage 14 : Montpellier > Perpignan
1993,3714,Stage 15 : Perpignan > Andorre
1993,3714,Stage 16 : Andorre > Saint-Lary-Soulan Col du Portet
1993,3714,Stage 17 : Tarbes > Pau
1993,3714,Stage 18 : Orthez > Bordeaux
1993,3714,Stage 19 : Brétigny-sur-Orge > Montlhéry
1993,3714,Stage 20 : Viry-Chatillon > Paris
1993,3714,Stage 11 : Serre-Chevalier > Isola 2000
1994,3978,Stage 8 : Poitiers > Trelissac
1994,3978,Stage 7 : Rennes > Futuroscope
1994,3978,Stage 6 : Cherbourg-en-Cotentin > Rennes
1994,3978,Stage 5 : Portsmouth > Portsmouth
1994,3978,Prologue : Lille > Lille
1994,3978,Stage 3 : Calais > Eurotunnel
1994,3978,Stage 2 : Roubaix > Boulogne-sur-Mer
1994,3978,Stage 1 : Lille > Armentieres
1994,3978,Stage 4 : Douvres > Brighton
1994,3978,Stage 10 : Bergerac > Cahors
1994,3978,Stage 9 : Périgueux > Bergerac
1994,3978,Stage 12 : Hautacam > Luz-Ardiden
1994,3978,Stage 21 : Disneyland-Paris > Paris
1994,3978,Stage 20 : Morzine > Lac Saint Point - Malbuisson
1994,3978,Stage 19 : Cluses > Avoriaz
1994,3978,Stage 18 : Moûtiers > Cluses
1994,3978,Stage 11 : Cahors > Hautacam
1994,3978,Stage 16 : Valréas > L'Alpe-d'Huez
1994,3978,Stage 15 : Montpellier > Carpentras
1994,3978,Stage 14 : Castres > Montpellier
1994,3978,Stage 13 : Bagnères-de-Bigorre > Albi
1994,3978,Stage 17 : Bourg-d'Oisans > Val Thorens
1995,3635,Stage 8 : Huy > Seraing
1995,3635,Prologue : Saint-Brieuc > Saint-Brieuc
1995,3635,Stage 1 : Dinan > Lannion
1995,3635,Stage 2 : Perros-Guirec > Vitré
1995,3635,Stage 3 : Mayenne > Alençon
1995,3635,Stage 4 : Alençon > Le Havre
1995,3635,Stage 5 : Fecamp > Dunkerque
1995,3635,Stage 6 : Dunkerque > Charleroi
1995,3635,Stage 7 : Charleroi > Liège
1995,3635,Stage 9 : le_grand_bornand > La Plagne
1995,3635,Stage 10 : Aime > L'Alpe-d'Huez
1995,3635,Stage 11 : Bourg-d'Oisans > Saint-Etienne
1995,3635,Stage 19 : Lac de Vassivière > Lac de Vassivière
1995,3635,Stage 18 : Montpon-Monesterol > Limoges
1995,3635,Stage 17 : Pau > Bordeaux
1995,3635,Stage 16 : Tarbes > Pau
1995,3635,Stage 20 : Sainte Geneviève des Bois > Paris
1995,3635,Stage 14 : Saint Orens de G. > Guzet-Neige
1995,3635,Stage 13 : Mende > Revel
1995,3635,Stage 12 : Saint-Etienne > Mende
1995,3635,Stage 15 : Saint-Girons > Cauterets
1996,3765,Stage 8 : Bourg Saint Maurice > val_d_isere
1996,3765,Prologue : 's-Hertogenbosch > 's-Hertogenbosch
1996,3765,Stage 1 : 's-Hertogenbosch > 's-Hertogenbosch
1996,3765,Stage 2 : 's-Hertogenbosch > Wasquehal
1996,3765,Stage 3 : Wasquehal > Nogent-sur-Oise
1996,3765,Stage 4 : Soissons > Lac de Madine
1996,3765,Stage 5 : Lac de Madine > Besançon
1996,3765,Stage 6 : Arc-et-Senans > Aix-les-Bains
1996,3765,Stage 7 : Chambéry > Les Arcs
1996,3765,Stage 9 : Monetier les Bains > Sestrières
1996,3765,Stage 21 : Palaiseau > Paris
1996,3765,Stage 11 : Gap > Valence
1996,3765,Stage 12 : Valence > Le Puy-en-Velay
1996,3765,Stage 13 : Le Puy-en-Velay > Superbesse
1996,3765,Stage 14 : Besse > Tulle
1996,3765,Stage 15 : Brive-la-Gaillarde > Villeneuve sur Lot
1996,3765,Stage 16 : Agen > Hautacam
1996,3765,Stage 17 : Argelès-Gazost > Pampelune
1996,3765,Stage 18 : Pampelune > Hendaye
1996,3765,Stage 19 : Hendaye > Bordeaux
1996,3765,Stage 20 : Bordeaux > Saint-Emilion
1996,3765,Stage 10 : Turin > Gap
1997,3950,Stage 8 : Sauternes > Pau
1997,3950,Stage 7 : Marennes > Bordeaux
1997,3950,Stage 6 : Le Blanc > Marennes
1997,3950,Stage 5 : Chantonnay > La Châtre
1997,3950,Stage 9 : Pau > Loudenvielle
1997,3950,Stage 3 : Vire > Plumelec
1997,3950,Stage 2 : St Valery-en-Caux > Vire
1997,3950,Stage 1 : Rouen > Forges-les-Eaux
1997,3950,Stage 4 : Plumelec > Puy-du-Fou
1997,3950,Stage 10 : Luchon > Andorre
1997,3950,Prologue : Rouen > Rouen
1997,3950,Stage 12 : Saint-Etienne > Saint-Etienne
1997,3950,Stage 21 : Disneyland-Paris > Paris
1997,3950,Stage 20 : Disneyland-Paris > Disneyland-Paris
1997,3950,Stage 19 : Montbéliard > Dijon
1997,3950,Stage 18 : Colmar > Montbéliard
1997,3950,Stage 11 : Andorre > Perpignan
1997,3950,Stage 16 : Morzine > Fribourg
1997,3950,Stage 15 : Courchevel > Morzine
1997,3950,Stage 14 : Bourg-d'Oisans > Courchevel
1997,3950,Stage 13 : Saint-Etienne > L'Alpe-d'Huez
1997,3950,Stage 17 : Fribourg > Colmar
1998,3875,Prologue : Dublin > Dublin
1998,3875,Stage 1 : Dublin > Dublin
1998,3875,Stage 2 : Enniscothy > Cork
1998,3875,Stage 3 : Roscoff > Lorient
1998,3875,Stage 4 : Plouay > Cholet
1998,3875,Stage 5 : Cholet > Chateauroux
1998,3875,Stage 6 : La Châtre > Brive-la-Gaillarde
1998,3875,Stage 8 : Brive-la-Gaillarde > Montauban
1998,3875,Stage 9 : Montauban > Pau
1998,3875,Stage 7 : Meyrignac l'Eglise > Corrèze
1998,3875,Stage 21 : Melun > Paris
1998,3875,Stage 11 : Luchon > plateau_de_beille
1998,3875,Stage 20 : Montceau-les-Mines > Le Creusot
1998,3875,Stage 19 : La Chaux-de-Fonds > Autun
1998,3875,Stage 18 : Aix-les-Bains > Neuchâtel
1998,3875,Stage 17 : Albertville > Aix-les-Bains
1998,3875,Stage 10 : Pau > Luchon
1998,3875,Stage 15 : Grenoble > Les Deux Alpes
1998,3875,Stage 14 : Valréas > Grenoble
1998,3875,Stage 13 : Frontignan-La-Peyrade > Carpentras
